,youtube_id,comment,like_num
192,cmlljyd,"i've been repeating this the whole day since yesterday,,, i like this song",0개
193,Nexik,I'm waiting for this album to destroy the chart again...Who's with me??,414개
194,서점임,코로나 저격 노래 인가요?(ㅋㅋㅋ),3개
195,ddowaeLee,ㅋㅋ 가을이지만 생각나는건 뭐지~,1개
196,구독하면어머니만수무강,우지윤님 수고하셨어요!,3개
197,김예빈,더 불어와!,1개
198,AchmadJarkasi,easy to remember ^_^,1개
199,StayGold,I just discovered this and I think she has the most beautiful voice I've ever heard,3개
200,fromisTV,Who's here after heard the news? that jiyoon leave bol4 :< I'm broke apart,2개
201,Mush,2:01 i feel like if it was the knife that she's holding i bet this turns to be sweet psycho hahaha this is so cute tho,1개
202,한별냥,이 노래 언제나 들어도 좋아,5개
203,오순정,내가 짝남이 생기면 안지영처럼 저렇게 화살 쏘면..엌,3개
204,Venus,Hitomi bring me here.,2개
205,,노래 넘좋아용,1개
206,Child,I am going to miss 2019 because of this song in the future. I am gonna listen to it everyday and make good memories which I can later refer to as nostalgia.,18개
207,국강현,와,2개
208,포윤은예쁜뎅,노래 좋아요 너무 귀여워요,2개
209,MateusHoney10,"Are you an international fan?

If so, like it here.",2개
210,ilyhyunjin,"I'm so obsessed with this song,plus the mv is so aesthetic!!❤️",2개
211,BillyWong,"Charts (20:00 KST)
Genie: 3 (+2)
Mnet: 1 (+4)
Melon: 3 (+2)
Bugs: 1
Soribada: 2
Naver: 1",377개
212,MumtazSolehah,Where can I buy bow and arrow like that?,1개
213,NamjoonNamjin,Who else hears her songs in kdramas but didn’t know it was her singing it?,5개
214,KohweiAh,💜💜💜💜💜💜💜💜,2개
215,임주은,언니들 너무 고마웠고 사랑했어요 . 지윤지영언니 영원히 기억할게요,1개
216,Milkyyoonie,That looks painful to be stabed by an arrow from the back xD,595개
217,김예빈,그냥 봄기운 좋아,1개
218,열심,시발 내 봄 내놔,3개
219,AriiqFiezayyan,Tiktok Users : Twice bought me here,7개
220,LiliahKim,나만 한국댓글 잘보이냐..? 심지어 유튜브 언어 영어로 해놨는데 다들 찾길래..,3개
221,노주연,"뭔가 이 노래 들으면 이상하게 여행가는 것 마냥 몽글몽글해짐 
뭔가 한겨울에 들어도 창 밖 날씨가 따뜻할거같고 여행가는 기분이 든다고 해야되나",840개
222,오은정,건강하세요!,3개
